danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.373,0.276,7,-14.945,1,0.0357,0.883,0.0124,0.122,0.409,79.204,audio_features,5VYOUBkObeGOnCt30YDTJ3,spotify:track:5VYOUBkObeGOnCt30YDTJ3,https://api.spotify.com/v1/tracks/5VYOUBkObeGOnCt30YDTJ3,https://api.spotify.com/v1/audio-analysis/5VYOUBkObeGOnCt30YDTJ3,212853,4,63
0.554,0.225,3,-11.324,1,0.0281,0.892,0.0321,0.107,0.221,104.007,audio_features,0ElpbbncWT9aS7mgoqEHbQ,spotify:track:0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/tracks/0ElpbbncWT9aS7mgoqEHbQ,https://api.spotify.com/v1/audio-analysis/0ElpbbncWT9aS7mgoqEHbQ,239880,4,76
0.579,0.415,7,-11.599,1,0.0397,0.929,0.0018,0.671,0.42,102.713,audio_features,0TQ8ZHFhrbH9I0WRjIzOCQ,spotify:track:0TQ8ZHFhrbH9I0WRjIzOCQ,https://api.spotify.com/v1/tracks/0TQ8ZHFhrbH9I0WRjIzOCQ,https://api.spotify.com/v1/audio-analysis/0TQ8ZHFhrbH9I0WRjIzOCQ,219093,4,63
0.591,0.416,1,-9.794,1,0.0246,0.882,0.000641,0.112,0.415,96.003,audio_features,1HMQmOWrkieKYWlFsjUP3D,spotify:track:1HMQmOWrkieKYWlFsjUP3D,https://api.spotify.com/v1/tracks/1HMQmOWrkieKYWlFsjUP3D,https://api.spotify.com/v1/audio-analysis/1HMQmOWrkieKYWlFsjUP3D,210080,4,75
0.334,0.397,7,-7.993,1,0.0284,0.558,0.0774,0.126,0.035,93.445,audio_features,0u4rkpmNtgcFxYHepnVF4v,spotify:track:0u4rkpmNtgcFxYHepnVF4v,https://api.spotify.com/v1/tracks/0u4rkpmNtgcFxYHepnVF4v,https://api.spotify.com/v1/audio-analysis/0u4rkpmNtgcFxYHepnVF4v,273107,4,67
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,audio_features,29jtZGdgpE2lWm2mkIt6HS,spotify:track:29jtZGdgpE2lWm2mkIt6HS,https://api.spotify.com/v1/tracks/29jtZGdgpE2lWm2mkIt6HS,https://api.spotify.com/v1/audio-analysis/29jtZGdgpE2lWm2mkIt6HS,223640,1,66
0.629,0.208,5,-16.225,1,0.0324,0.824,3.7e-06,0.107,0.685,96.609,audio_features,250RLekaiL1q9qZer975Eg,spotify:track:250RLekaiL1q9qZer975Eg,https://api.spotify.com/v1/tracks/250RLekaiL1q9qZer975Eg,https://api.spotify.com/v1/audio-analysis/250RLekaiL1q9qZer975Eg,215564,4,65
0.567,0.224,1,-10.024,1,0.0299,0.887,0.0,0.109,0.2,124.44,audio_features,5sVyefkGgQeYCgnqr4KslQ,spotify:track:5sVyefkGgQeYCgnqr4KslQ,https://api.spotify.com/v1/tracks/5sVyefkGgQeYCgnqr4KslQ,https://api.spotify.com/v1/audio-analysis/5sVyefkGgQeYCgnqr4KslQ,231813,4,63
0.676,0.0812,2,-22.846,1,0.0398,0.979,0.416,0.118,0.314,125.075,audio_features,20AC70RUlVz6A6dCcQ5tRS,spotify:track:20AC70RUlVz6A6dCcQ5tRS,https://api.spotify.com/v1/tracks/20AC70RUlVz6A6dCcQ5tRS,https://api.spotify.com/v1/audio-analysis/20AC70RUlVz6A6dCcQ5tRS,401413,4,63
0.589,0.177,3,-14.891,1,0.0325,0.977,0.714,0.0958,0.311,88.409,audio_features,5YqpHuXpFjDVZ7tY1ClFll,spotify:track:5YqpHuXpFjDVZ7tY1ClFll,https://api.spotify.com/v1/tracks/5YqpHuXpFjDVZ7tY1ClFll,https://api.spotify.com/v1/audio-analysis/5YqpHuXpFjDVZ7tY1ClFll,161680,4,63
0.568,0.558,9,-8.553,1,0.0278,0.724,0.000331,0.116,0.287,104.991,audio_features,7MIMNleq34UeRnlLRdPpGY,spotify:track:7MIMNleq34UeRnlLRdPpGY,https://api.spotify.com/v1/tracks/7MIMNleq34UeRnlLRdPpGY,https://api.spotify.com/v1/audio-analysis/7MIMNleq34UeRnlLRdPpGY,239960,4,62
0.626,0.432,2,-11.948,1,0.0283,0.633,0.00239,0.127,0.361,137.93,audio_features,3G9ETaH55bMQx8hwNhAgbU,spotify:track:3G9ETaH55bMQx8hwNhAgbU,https://api.spotify.com/v1/tracks/3G9ETaH55bMQx8hwNhAgbU,https://api.spotify.com/v1/audio-analysis/3G9ETaH55bMQx8hwNhAgbU,360933,4,62
0.386,0.205,4,-16.699,1,0.0366,0.653,0.0448,0.106,0.623,172.373,audio_features,6UIxGIqWlO5wsddY44AV1R,spotify:track:6UIxGIqWlO5wsddY44AV1R,https://api.spotify.com/v1/tracks/6UIxGIqWlO5wsddY44AV1R,https://api.spotify.com/v1/audio-analysis/6UIxGIqWlO5wsddY44AV1R,152613,4,61
0.473,0.317,2,-10.324,1,0.0318,0.944,0.0124,0.11,0.132,139.899,audio_features,4C2aiAVTTVyZbCQZst5Xu1,spotify:track:4C2aiAVTTVyZbCQZst5Xu1,https://api.spotify.com/v1/tracks/4C2aiAVTTVyZbCQZst5Xu1,https://api.spotify.com/v1/audio-analysis/4C2aiAVTTVyZbCQZst5Xu1,241720,4,60
0.415,0.11,1,-14.901,1,0.0388,0.951,0.00234,0.0962,0.234,81.876,audio_features,0bZ52QzCCKfrfOqs7za6lI,spotify:track:0bZ52QzCCKfrfOqs7za6lI,https://api.spotify.com/v1/tracks/0bZ52QzCCKfrfOqs7za6lI,https://api.spotify.com/v1/audio-analysis/0bZ52QzCCKfrfOqs7za6lI,240147,4,60
0.491,0.328,9,-16.564,1,0.0384,0.684,0.000146,0.0848,0.107,81.958,audio_features,3PTsvzTENG4jREGGQz9xpb,spotify:track:3PTsvzTENG4jREGGQz9xpb,https://api.spotify.com/v1/tracks/3PTsvzTENG4jREGGQz9xpb,https://api.spotify.com/v1/audio-analysis/3PTsvzTENG4jREGGQz9xpb,214361,4,59
0.477,0.712,7,-6.759,1,0.0653,0.224,8.36e-06,0.118,0.407,109.965,audio_features,6Od2OWvoT4embWAgIGeFRd,spotify:track:6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/tracks/6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/audio-analysis/6Od2OWvoT4embWAgIGeFRd,224400,4,59
0.555,0.419,0,-12.701,1,0.0457,0.31,0.00115,0.237,0.317,159.746,audio_features,3sPpEYjRGQYV0XOjy4pYqh,spotify:track:3sPpEYjRGQYV0XOjy4pYqh,https://api.spotify.com/v1/tracks/3sPpEYjRGQYV0XOjy4pYqh,https://api.spotify.com/v1/audio-analysis/3sPpEYjRGQYV0XOjy4pYqh,246453,4,59
0.648,0.352,4,-10.11,1,0.0278,0.692,0.262,0.106,0.173,121.461,audio_features,6VfY0sgS4j4JpFQH8kk4XA,spotify:track:6VfY0sgS4j4JpFQH8kk4XA,https://api.spotify.com/v1/tracks/6VfY0sgS4j4JpFQH8kk4XA,https://api.spotify.com/v1/audio-analysis/6VfY0sgS4j4JpFQH8kk4XA,329893,4,59
